jobName,city,companyName,companyDesc,workTime,studyTime,jobUrl,companyUrl,companyDomain,rongzi
游戏策划师,8k-13k,深圳,顺源网络,,经验1-3年,大专,https://www.lagou.com/jobs/2912388.html,https://www.lagou.com/gongsi/80129.html,游戏
游戏策划,8K-12K,杭州,影力网络,,经验1-3年,本科,https://www.lagou.com/jobs/3992923.html,https://www.lagou.com/gongsi/219287.html,游戏
游戏策划,15k-30k,上海,上海米哈游,,经验不限,本科,https://www.lagou.com/jobs/2478220.html,https://www.lagou.com/gongsi/7872.html,"移动互联网,游戏"
游戏策划（MOBA/RTS 系统）,10k-20k,深圳,迅龙创威,,经验1-3年,大专,https://www.lagou.com/jobs/3360757.html,https://www.lagou.com/gongsi/53957.html,游戏
游戏策划,8k-15k,成都,多益网络,,经验3-5年,不限,https://www.lagou.com/jobs/865351.html,https://www.lagou.com/gongsi/589.html,"移动互联网,游戏"
游戏策划师,8k-10k,深圳,深圳市亚势力广告有限公司,,经验1-3年,大专,https://www.lagou.com/jobs/2098846.html,https://www.lagou.com/gongsi/78734.html,"移动互联网,游戏"
游戏策划,8k-15k,广州,彩乐网络,,经验1-3年,大专,https://www.lagou.com/jobs/3776767.html,https://www.lagou.com/gongsi/8072.html,"移动互联网,游戏"
游戏策划,8k-15k,北京,竞技世界,,经验1-3年,本科,https://www.lagou.com/jobs/2894452.html,https://www.lagou.com/gongsi/4286.html,"移动互联网,游戏"
游戏策划,5k-8k,长沙,迪派网络,,经验1-3年,大专,https://www.lagou.com/jobs/3889164.html,https://www.lagou.com/gongsi/210118.html,游戏
产品经理/游戏策划,10k-20k,深圳,未来游戏,,经验3-5年,本科,https://www.lagou.com/jobs/3224611.html,https://www.lagou.com/gongsi/175988.html,"移动互联网,游戏"
游戏策划,6k-8k,广州,易镜科技,,经验1-3年,大专,https://www.lagou.com/jobs/3575831.html,https://www.lagou.com/gongsi/153187.html,"移动互联网,游戏"
游戏策划,5k-8k,北京,乐游网,,经验1年以下,大专,https://www.lagou.com/jobs/3764865.html,https://www.lagou.com/gongsi/82168.html,游戏
资深游戏策划,8k-15k,上海,木七七,,经验1-3年,本科,https://www.lagou.com/jobs/1103902.html,https://www.lagou.com/gongsi/92943.html,"移动互联网,游戏"
游戏策划,7k-13k,广州,彩猫科技,,经验1-3年,大专,https://www.lagou.com/jobs/3907227.html,https://www.lagou.com/gongsi/177809.html,"移动互联网,数据服务"
游戏策划,2k-4k,成都,比高互动科技,,经验1年以下,不限,https://www.lagou.com/jobs/3754258.html,https://www.lagou.com/gongsi/245821.html,"游戏,移动互联网"
游戏策划,8k-15k,广州,智品移动,,经验1-3年,本科,https://www.lagou.com/jobs/3910117.html,https://www.lagou.com/gongsi/9043.html,"移动互联网,电子商务"
游戏策划,5k-8k,成都,数艺互动,,经验3-5年,不限,https://www.lagou.com/jobs/4003756.html,https://www.lagou.com/gongsi/297358.html,"移动互联网,游戏"
高级游戏策划,15k-20k,成都,竞技世界,,经验5-10年,本科,https://www.lagou.com/jobs/3569606.html,https://www.lagou.com/gongsi/191328.html,游戏
游戏策划（MMORPG关卡）,10k-20k,深圳,迅龙创威,,经验1-3年,大专,https://www.lagou.com/jobs/3367217.html,https://www.lagou.com/gongsi/53957.html,游戏
游戏策划师,5k-10k,广州,游兰,,经验1-3年,大专,https://www.lagou.com/jobs/3900996.html,https://www.lagou.com/gongsi/166347.html,游戏
游戏策划,7k-13k,长沙,深圳市速比信科技有限公司,,经验3-5年,大专,https://www.lagou.com/jobs/3905378.html,https://www.lagou.com/gongsi/171043.html,"游戏,移动互联网"
游戏策划-棋牌游戏,8k-15k,上海,元游网络,,经验1-3年,不限,https://www.lagou.com/jobs/3359369.html,https://www.lagou.com/gongsi/106683.html,"移动互联网,游戏"
游戏策划（关卡/系统）,15k-25k,杭州,网易,,经验不限,本科,https://www.lagou.com/jobs/3819368.html,https://www.lagou.com/gongsi/329.html,"电子商务,移动互联网"
游戏策划,20k-30k,北京,新瞳科技,,经验3-5年,本科,https://www.lagou.com/jobs/3843237.html,https://www.lagou.com/gongsi/130399.html,"移动互联网,文化娱乐"
捕鱼游戏策划,8k-12k,广州,广州觅蓝软件科技有限公司,,经验1-3年,大专,https://www.lagou.com/jobs/3991799.html,https://www.lagou.com/gongsi/258490.html,移动互联网
游戏策划,10k-15k,北京,顽石互动（北京）网络科技有限公司,,经验1-3年,不限,https://www.lagou.com/jobs/2151474.html,https://www.lagou.com/gongsi/2584.html,游戏
高级游戏策划,13k-25k,北京,拱顶石游戏,,经验1-3年,本科,https://www.lagou.com/jobs/3830750.html,https://www.lagou.com/gongsi/36441.html,"游戏,文化娱乐"
资深游戏策划,15k-20k,杭州,无端科技,,经验3-5年,本科,https://www.lagou.com/jobs/3829426.html,https://www.lagou.com/gongsi/286403.html,游戏
游戏策划,8k-14k,北京,云派游戏,,经验1-3年,大专,https://www.lagou.com/jobs/2972894.html,https://www.lagou.com/gongsi/67961.html,"移动互联网,游戏"
休闲游戏策划,9k-15k,上海,上海似锦,,经验1-3年,大专,https://www.lagou.com/jobs/1890109.html,https://www.lagou.com/gongsi/117988.html,"移动互联网,教育"
游戏策划,3K-6K,武汉,武汉市江岸区圣华联通信器材经营部,,经验1年以下,不限,https://www.lagou.com/jobs/3952205.html,https://www.lagou.com/gongsi/303226.html,移动互联网
游戏策划,8k-16k,广州,要玩游戏,,经验不限,不限,https://www.lagou.com/jobs/1655726.html,https://www.lagou.com/gongsi/18647.html,游戏
游戏策划,8k-16k,南京,南京红豆,,经验不限,大专,https://www.lagou.com/jobs/3852805.html,https://www.lagou.com/gongsi/288187.html,游戏
游戏策划（MOBA/RTS 经济）,10k-20k,深圳,迅龙创威,,经验1-3年,本科,https://www.lagou.com/jobs/3360740.html,https://www.lagou.com/gongsi/53957.html,游戏
游戏策划（关卡/系统）,12k-18k,杭州,网易,,经验3-5年,本科,https://www.lagou.com/jobs/3490609.html,https://www.lagou.com/gongsi/329.html,"电子商务,移动互联网"
资深游戏策划（系统方向）,25k-35k,北京,竞技世界,,经验3-5年,本科,https://www.lagou.com/jobs/3380769.html,https://www.lagou.com/gongsi/4286.html,"移动互联网,游戏"
游戏策划（西方魔幻）,10k-20k,广州,网易游戏,,经验不限,本科,https://www.lagou.com/jobs/3405305.html,https://www.lagou.com/gongsi/22790.html,游戏
游戏策划,5k-10k,郑州,百易科技,,经验1-3年,大专,https://www.lagou.com/jobs/3366565.html,https://www.lagou.com/gongsi/61033.html,游戏
游戏策划,5k-8k,成都,原力时代,,经验1-3年,大专,https://www.lagou.com/jobs/3851536.html,https://www.lagou.com/gongsi/288756.html,"移动互联网,游戏"
游戏策划,8k-16k,武汉,百游网络,,经验3-5年,大专,https://www.lagou.com/jobs/3939350.html,https://www.lagou.com/gongsi/183745.html,游戏
游戏策划师（系统策划）,6k-12k,广州,奇翼,,经验1-3年,本科,https://www.lagou.com/jobs/2993270.html,https://www.lagou.com/gongsi/98613.html,游戏
游戏策划,6K-12K,合肥,火烈鸟,,经验3-5年,本科,https://www.lagou.com/jobs/3395794.html,https://www.lagou.com/gongsi/234543.html,"移动互联网,游戏"
游戏策划/系统策划,7k-10k,广州,纷享科技,,经验3-5年,大专,https://www.lagou.com/jobs/3609633.html,https://www.lagou.com/gongsi/143892.html,"生活服务,文化娱乐"
游戏策划,8k-15k,杭州,国成金融,,经验3-5年,大专,https://www.lagou.com/jobs/3714292.html,https://www.lagou.com/gongsi/260348.html,金融
捕鱼游戏策划,7k-14k,深圳,手心游戏（手游）,,经验1-3年,不限,https://www.lagou.com/jobs/2921719.html,https://www.lagou.com/gongsi/19543.html,"移动互联网,游戏"
游戏策划,5k-10k,广州,麟龙游戏,,经验1年以下,本科,https://www.lagou.com/jobs/3131425.html,https://www.lagou.com/gongsi/182404.html,游戏
游戏策划师,6k-12k,成都,爱智游,,经验3-5年,本科,https://www.lagou.com/jobs/3921212.html,https://www.lagou.com/gongsi/101924.html,"教育,游戏"
游戏策划,8k-15k,杭州,Booming Games,,经验不限,不限,https://www.lagou.com/jobs/1171390.html,https://www.lagou.com/gongsi/100928.html,游戏
